claim_id,video_id,video_title,claim_text,verityngn_verdict,verityngn_category,prob_true,prob_false,ground_truth,ground_truth_confidence,ground_truth_sources,ground_truth_notes
6pWblf8COH4_claim_0,6pWblf8COH4,The Bitcoin Phenomenon,"He's obviously had some academic training because he wrote this academic white paper that, you know, is in the style of a peer-reviewed academic journal article.",LIKELY_TRUE,TRUE,0.3621,0.1466,,,,
6pWblf8COH4_claim_1,6pWblf8COH4,The Bitcoin Phenomenon,This sort of technology was developed independently a few times. I think the NSA developed it in the 70s and then academic cryptographers started putting this out later in the 90s.,LEANING_FALSE,FALSE,0.3763,0.577,,,,
6pWblf8COH4_claim_2,6pWblf8COH4,The Bitcoin Phenomenon,"When I first heard about Bitcoin, it seemed just like this very stupid magic internet money. I didn't really think it was very impressive at all.",LIKELY_FALSE,FALSE,0.1571,0.6943,,,,
6pWblf8COH4_claim_3,6pWblf8COH4,The Bitcoin Phenomenon,"Ask yourself which is more important in your life, money or email, and I think most people will say money. So this is bigger than email.",UNCERTAIN,UNCERTAIN,0.4114,0.3886,UNCERTAIN,medium,,"Auto-labeled: Subjective/opinion statement, not factual claim"
6pWblf8COH4_claim_4,6pWblf8COH4,The Bitcoin Phenomenon,Bitcoin is cash for the internet. So it's a new kind of money and it's also a payment network that runs over the internet.,HIGHLY_LIKELY_TRUE,TRUE,0.8717,0.08,TRUE,medium,,Auto-labeled: High VerityNgn confidence: 87% TRUE
6pWblf8COH4_claim_5,6pWblf8COH4,The Bitcoin Phenomenon,"It's called public key cryptography. Now, we now rely on that technology every time your phone talks to your bank or even over maybe SMS sometimes.",LIKELY_FALSE,FALSE,0.2787,0.6742,TRUE,medium,,Auto-labeled: Matches known factual pattern
6pWblf8COH4_claim_6,6pWblf8COH4,The Bitcoin Phenomenon,"As far as I know, no one has actually met Satoshi. No one knows who he or she or they are.",LIKELY_TRUE,TRUE,0.7214,0.1058,TRUE,low,,Auto-labeled: Moderate VerityNgn confidence: 72% TRUE
6pWblf8COH4_claim_7,6pWblf8COH4,The Bitcoin Phenomenon,"That's how we know there will only ever be 21 million Bitcoins created because if you do the math, that series works out to 21 million.",LIKELY_TRUE,TRUE,0.5853,0.327,TRUE,medium,,Auto-labeled: Matches known factual pattern
6pWblf8COH4_claim_8,6pWblf8COH4,The Bitcoin Phenomenon,"People with money tend to want to protect their money, and the biggest danger to many people's money is that the government will seize it.",LIKELY_FALSE,FALSE,0.1905,0.6419,,,,
6pWblf8COH4_claim_9,6pWblf8COH4,The Bitcoin Phenomenon,"I have the skills to actually go in and look at it and convince myself that technically, it was correct, that it could actually work.",LIKELY_FALSE,FALSE,0.1219,0.36,,,,
6pWblf8COH4_claim_10,6pWblf8COH4,The Bitcoin Phenomenon,"I've never talked with Satoshi, although I have communicated with him electronically by email or on online forums.",LIKELY_FALSE,FALSE,0.05,0.85,FALSE,low,,Auto-labeled: Moderate VerityNgn confidence: 85% FALSE
6pWblf8COH4_claim_11,6pWblf8COH4,The Bitcoin Phenomenon,"I was skeptical at first, didn't think it could possibly work.",UNCERTAIN,UNCERTAIN,0.4571,0.4124,UNCERTAIN,medium,,"Auto-labeled: Subjective/opinion statement, not factual claim"
6pWblf8COH4_claim_12,6pWblf8COH4,The Bitcoin Phenomenon,"It was just an experiment to begin with, but I could see the potential with it.",LIKELY_TRUE,TRUE,0.5733,0.2638,UNCERTAIN,medium,,"Auto-labeled: Subjective/opinion statement, not factual claim"
6pWblf8COH4_claim_13,6pWblf8COH4,The Bitcoin Phenomenon,Bitcoin is the most important invention at least since the internet.,LIKELY_FALSE,FALSE,0.1571,0.6943,UNCERTAIN,medium,,"Auto-labeled: Subjective/opinion statement, not factual claim"
6pWblf8COH4_claim_14,6pWblf8COH4,The Bitcoin Phenomenon,It's just incredibly novel and interesting solution to problems.,LIKELY_TRUE,TRUE,0.3039,0.1369,UNCERTAIN,medium,,"Auto-labeled: Subjective/opinion statement, not factual claim"
6pWblf8COH4_claim_15,6pWblf8COH4,The Bitcoin Phenomenon,There's a piece of digital information that you can hold that has value.,LIKELY_TRUE,TRUE,0.5733,0.2638,TRUE,medium,,Auto-labeled: Matches known factual pattern
6pWblf8COH4_claim_16,6pWblf8COH4,The Bitcoin Phenomenon,"As long as nobody else knows that information, that value belongs to you.",LIKELY_TRUE,TRUE,0.5,0.2838,,,,
6pWblf8COH4_claim_17,6pWblf8COH4,The Bitcoin Phenomenon,Within a couple hours I became absolutely hooked.,LIKELY_TRUE,TRUE,0.6845,0.1485,UNCERTAIN,medium,,"Auto-labeled: Subjective/opinion statement, not factual claim"
6pWblf8COH4_claim_18,6pWblf8COH4,The Bitcoin Phenomenon,It's a fundamental innovation.,LIKELY_TRUE,TRUE,0.2709,0.0981,UNCERTAIN,medium,,"Auto-labeled: Subjective/opinion statement, not factual claim"
6pWblf8COH4_claim_19,6pWblf8COH4,The Bitcoin Phenomenon,Bitcoin was invented by Satoshi Nakamoto.,UNCERTAIN,UNCERTAIN,0.4705,0.3981,,,,
7VG_s2PCH_c_claim_0,7VG_s2PCH_c,Vaccines: Last Week Tonight with John Oliver (HBO),It is not wise to take healthcare advice from a man who has willingly sought care from a doctor who looks like he sneaks into senior proms in the middle of the night to fox the mozzarella sticks.,LEANING_FALSE,FALSE,0.3763,0.577,UNCERTAIN,high,,Auto-labeled: Comedy/satire - not a factual claim
7VG_s2PCH_c_claim_1,7VG_s2PCH_c,Vaccines: Last Week Tonight with John Oliver (HBO),"Anxious parents were thrilled and grateful, responding to one of the greatest mass inoculations in medical annals.",LIKELY_FALSE,FALSE,0.1996,0.7519,FALSE,low,,Auto-labeled: Moderate VerityNgn confidence: 75% FALSE
7VG_s2PCH_c_claim_2,7VG_s2PCH_c,Vaccines: Last Week Tonight with John Oliver (HBO),Polio was never childhood's most crippling enemy because that was and will forever remain accidentally seeing your father's penis.,LEANING_FALSE,FALSE,0.3654,0.5879,UNCERTAIN,high,,Auto-labeled: Comedy/satire - not a factual claim
KqJAzQe7_0g_claim_0,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,Medical schools have too much subsidization of the professors who are being paid by the drug companies.,LIKELY_TRUE,TRUE,0.5733,0.2638,,,,
KqJAzQe7_0g_claim_1,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,"Last year, we were able to travel across the United States interviewing doctors, scientists, researchers, and cancer patients to learn what they were doing to treat cancer.",UNCERTAIN,UNCERTAIN,0.2,0.3,,,,
KqJAzQe7_0g_claim_2,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,Doctors are not taught anything about nutrition in medical school.,UNCERTAIN,UNCERTAIN,0.4229,0.4286,,,,
KqJAzQe7_0g_claim_3,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,The Flexner Report of 1910 was a preordained commissioned report to establish a medical monopoly via eliminating all competition to patent petrochemical medical education.,LIKELY_FALSE,FALSE,0.2257,0.7,FALSE,high,,Auto-labeled: Matches known false claim pattern
KqJAzQe7_0g_claim_4,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,The only thing that doctors are taught while they're in medical school is how to prescribe drugs.,LIKELY_FALSE,FALSE,0.1629,0.7076,FALSE,high,,Auto-labeled: Matches known false claim pattern
KqJAzQe7_0g_claim_5,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,The Carnegie and Rockefeller Foundations engineered the medical school curriculum over a century ago.,LIKELY_TRUE,TRUE,0.6686,0.2352,TRUE,medium,,Auto-labeled: Matches known factual pattern
